Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     48.33     0.00        3     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::vector(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&) [clone .lto_priv.0]
  0.00     48.33     0.00        3     0.00     0.00  std::__detail::__variant::__gen_vtable_impl<std::__detail::__variant::_Multi_array<std::__detail::__variant::__variant_cookie (*)(std::__detail::__variant::__variant_construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double, std::__detail::__variant::_Copy_ctor_base<false, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double>&, std::__detail::__variant::_Copy_ctor_base<false, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double> const&>(std::__detail::__variant::_Copy_ctor_base<false, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double>&, std::__detail::__variant::_Copy_ctor_base<false, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double> const&)::{lambda(auto:1&&)#1}&&, std::variant<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double> const&)>, std::integer_sequence<unsigned long, 0ul> >::__visit_invoke(std::__detail::__variant::__variant_construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double, std::__detail::__variant::_Copy_ctor_base<false, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double>&, std::__detail::__variant::_Copy_ctor_base<false, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double> const&>(std::__detail::__variant::_Copy_ctor_base<false, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double>&, std::__detail::__variant::_Copy_ctor_base<false, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double> const&)::{lambda(auto:1&&)#1}&&, std::variant<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double> const&)
  0.00     48.33     0.00        2     0.00     0.00  boundary_t::~boundary_t()
  0.00     48.33     0.00        2     0.00     0.00  linkedCell_t::~linkedCell_t()
  0.00     48.33     0.00        2     0.00     0.00  std::shared_ptr<spdlog::logger> spdlog::stdout_color_mt<spdlog::async_factory_impl<(spdlog::async_overflow_policy)0> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, spdlog::color_mode)
  0.00     48.33     0.00        2     0.00     0.00  spdlog::sinks::ansicolor_stdout_sink<spdlog::details::console_mutex>::ansicolor_stdout_sink(spdlog::color_mode)
  0.00     48.33     0.00        2     0.00     0.00  spdlog::sinks::ansicolor_stdout_sink<spdlog::details::console_mutex>::~ansicolor_stdout_sink()
  0.00     48.33     0.00        2     0.00     0.00  spdlog::details::os::fopen_s(_IO_FILE**, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     48.33     0.00        2     0.00     0.00  spdlog::details::registry::instance()
  0.00     48.33     0.00        2     0.00     0.00  cuboid_t::~cuboid_t()
  0.00     48.33     0.00        2     0.00     0.00  Generator<CuboidArgument<2ul>, 2ul, true>::generate(CuboidArgument<2ul> const&, ParticleContainer<2ul>&)
  0.00     48.33     0.00        2     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::shared_ptr<spdlog::logger> >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::shared_ptr<spdlog::logger> > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::shared_ptr<spdlog::logger> >, true>*, unsigned long)
  0.00     48.33     0.00        2     0.00     0.00  std::_Sp_counted_ptr_inplace<spdlog::sinks::ansicolor_stdout_sink<spdlog::details::console_mutex>, std::allocator<spdlog::sinks::ansicolor_stdout_sink<spdlog::details::console_mutex> >, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     48.33     0.00        2     0.00     0.00  std::_Sp_counted_ptr_inplace<spdlog::sinks::ansicolor_stdout_sink<spdlog::details::console_mutex>, std::allocator<spdlog::sinks::ansicolor_stdout_sink<spdlog::details::console_mutex> >, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     48.33     0.00        2     0.00     0.00  std::_Sp_counted_ptr_inplace<spdlog::logger, std::allocator<spdlog::logger>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     48.33     0.00        2     0.00     0.00  std::_Sp_counted_ptr_inplace<spdlog::logger, std::allocator<spdlog::logger>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     48.33     0.00        2     0.00     0.00  std::vector<Cell<2ul>*, std::allocator<Cell<2ul>*> >::reserve(unsigned long)
  0.00     48.33     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > ArrayUtils::to_string<std::vector<BoundaryType, std::allocator<BoundaryType> > >(std::vector<BoundaryType, std::allocator<BoundaryType> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, 2ul> const&)
  0.00     48.33     0.00        1     0.00     0.00  Thermostat<2ul>::setInitialTemperature(ParticleContainer<2ul>&)
  0.00     48.33     0.00        1     0.00     0.00  Thermostat<2ul>::~Thermostat()
  0.00     48.33     0.00        1     0.00     0.00  strategy_t::parse(xsd::cxx::xml::dom::parser<char>&, xsd::cxx::tree::flags)
  0.00     48.33     0.00        1     0.00     0.00  linkedCell_t::linkedCell_t(linkedCell_t const&, xsd::cxx::tree::flags, xsd::cxx::tree::_type*)
  0.00     48.33     0.00        1     0.00     0.00  simulation_t::~simulation_t()
  0.00     48.33     0.00        1     0.00     0.00  ArgumentStatus::ArgumentStatus()
  0.00     48.33     0.00        1     0.00     0.00  XMLArgumentParser<2ul>::validateInput()
  0.00     48.33     0.00        1     0.00     0.00  XMLArgumentParser<2ul>::createArgument()
  0.00     48.33     0.00        1     0.00     0.00  XMLArgumentParser<2ul>::~XMLArgumentParser()
  0.00     48.33     0.00        1     0.00     0.00  BasicArgumentParser<3ul>::createArgument()
  0.00     48.33     0.00        1     0.00     0.00  LinkedCellContainer<2ul>::init()
  0.00     48.33     0.00        1     0.00     0.00  LinkedCellContainer<2ul>::~LinkedCellContainer()
  0.00     48.33     0.00        1     0.00     0.00  xsd::cxx::xml::char_utf8_transcoder<char>::from(char const*, unsigned long)
  0.00     48.33     0.00        1     0.00     0.00  Logger::setupLogger()
  0.00     48.33     0.00        1     0.00     0.00  spdlog::set_default_logger(std::shared_ptr<spdlog::logger>)
  0.00     48.33     0.00        1     0.00     0.00  spdlog::file_event_handlers::~file_event_handlers()
  0.00     48.33     0.00        1     0.00     0.00  spdlog::sinks::basic_file_sink<std::mutex>::basic_file_sink(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool, spdlog::file_event_handlers const&)
  0.00     48.33     0.00        1     0.00     0.00  spdlog::sinks::ansicolor_stderr_sink<spdlog::details::console_mutex>::ansicolor_stderr_sink(spdlog::color_mode)
  0.00     48.33     0.00        1     0.00     0.00  spdlog::sinks::ansicolor_stderr_sink<spdlog::details::console_mutex>::~ansicolor_stderr_sink()
  0.00     48.33     0.00        1     0.00     0.00  spdlog::logger::logger(spdlog::logger const&)
  0.00     48.33     0.00        1     0.00     0.00  spdlog::logger::logger<std::shared_ptr<spdlog::sinks::sink> const*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::shared_ptr<spdlog::sinks::sink> const*, std::shared_ptr<spdlog::sinks::sink> const*)
  0.00     48.33     0.00        1     0.00     0.00  spdlog::details::backtracer::backtracer(spdlog::details::backtracer const&)
  0.00     48.33     0.00        1     0.00     0.00  spdlog::details::file_helper::open(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool)
  0.00     48.33     0.00        1     0.00     0.00  spdlog::details::file_helper::file_helper(spdlog::file_event_handlers const&)
  0.00     48.33     0.00        1     0.00     0.00  spdlog::details::file_helper::~file_helper()
  0.00     48.33     0.00        1     0.00     0.00  spdlog::details::os::create_dir(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00     48.33     0.00        1     0.00     0.00  spdlog::details::os::dir_name(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00     48.33     0.00        1     0.00     0.00  spdlog::details::registry::apply_all(std::function<void (std::shared_ptr<spdlog::logger>)> const&)
  0.00     48.33     0.00        1     0.00     0.00  spdlog::details::registry::registry()
  0.00     48.33     0.00        1     0.00     0.00  spdlog::set_level(spdlog::level::level_enum)
  0.00     48.33     0.00        1     0.00     0.00  shape_t::parse(xsd::cxx::xml::dom::parser<char>&, xsd::cxx::tree::flags)
  0.00     48.33     0.00        1     0.00     0.00  shape_t::~shape_t()
  0.00     48.33     0.00        1     0.00     0.00  DirectSum<Gravitation, 2ul, true>::~DirectSum()
  0.00     48.33     0.00        1     0.00     0.00  VTKWriter<2ul>::~VTKWriter()
  0.00     48.33     0.00        1     0.00     0.00  XMLReader<3ul>::XMLReader(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [clone .lto_priv.0]
  0.00     48.33     0.00        1     0.00     0.00  Thermostat<2ul>::toString[abi:cxx11]() const
